mp_id,category,config,nmae,seconds,grid,mass_captured,effective_threshold
mp-1798153,other,delta-fourier-lowg-1pct,0.0005222609662872225,0.44378154099103995,"(128, 128, 128)",,
mp-1798153,other,delta-fourier-lowg-5pct,0.0003799221355780399,0.4404707499779761,"(128, 128, 128)",,
mp-1798153,other,delta-fourier-lowg-25pct,0.0001350508354557467,0.4612634580116719,"(128, 128, 128)",,
mp-1803190,other,direct,2.1610594448070024e-08,0.0010181660181842744,"(128, 128, 128)",,
mp-1803190,other,cutoff-top-1pct,0.7167471359430477,0.004573959013214335,"(128, 128, 128)",0.28325289487838745,604.5825805664062
mp-1803190,other,cutoff-top-5pct,0.5317676307606569,0.007651915977476165,"(128, 128, 128)",0.4682323932647705,82.52407836914062
mp-1803190,other,cutoff-top-25pct,0.2585912777149563,0.011394584027584642,"(128, 128, 128)",0.7414087653160095,31.18496322631836
mp-1803190,other,cutoff-top-100pct,2.1610594448070024e-08,0.01075495799886994,"(128, 128, 128)",1.0,-48.458770751953125
mp-1803190,other,fourier-lowg-0.25pct,0.016986694177771725,0.04636404200573452,"(128, 128, 128)",,
mp-1803190,other,fourier-lowg-0.5pct,0.005973271928333464,0.040977500000735745,"(128, 128, 128)",,
mp-1803190,other,fourier-lowg-1pct,0.002213516787684916,0.033625915995799005,"(128, 128, 128)",,
mp-1803190,other,fourier-lowg-5pct,0.0008067156283481313,0.05925041699083522,"(128, 128, 128)",,
mp-1803190,other,fourier-lowg-25pct,0.00021005542190992435,0.036552665987983346,"(128, 128, 128)",,
mp-1803190,other,fourier-lowg-100pct,5.8888747549753335e-08,0.02248049998888746,"(128, 128, 128)",,
mp-1803190,other,delta-fourier-lowg-0.25pct,0.01699100751439525,0.2851429170113988,"(128, 128, 128)",,
mp-1803190,other,delta-fourier-lowg-0.5pct,0.005973271856256825,0.2743410420080181,"(128, 128, 128)",,
mp-1803190,other,delta-fourier-lowg-1pct,0.0022135175155995374,0.27977820800151676,"(128, 128, 128)",,
mp-1803190,other,delta-fourier-lowg-5pct,0.000806715639462939,0.2934497079986613,"(128, 128, 128)",,
mp-1803190,other,delta-fourier-lowg-25pct,0.00021005544512958682,0.28653974999906495,"(128, 128, 128)",,
mp-1908473,oxide,direct,2.156921180268205e-08,0.0008858329965732992,"(128, 128, 128)",,
